,,,,
项目,行次,本年累计,上年同期,同比增减（%）
一、两金压降情况：,1,--,--,--
1.当年新增的应收款项,2,,,
  其中：应收账款,3,,,
        应收票据,4,,,
        其他应收款,5,,,
2.当年收回的应收款项,6,,,
  其中：应收账款,7,,,
        应收票据,8,,,
        其他应收款,9,,,
3.处置变卖的非正常存货原值,10,,,
  其中：当年回收资金金额,11,,,
二、当年获得的财政性资金（现金流入）,12,,,
1.在损益类科目列示的金额,13,,,
2.在权益类科目列示的金额,14,,,
3.在其他科目列示的金额,15,,,
三、带息负债总额,16,,,
（一）银行借款,17,,,
1.长期借款,18,,,
2.短期借款,19,,,
（二）应付债券,20,,,
  其中：3个月内到期的应付债券,21,,,
（三）其他,22,,,
  其中：永续债,23,,,
四、当年到位融资额,24,,,
1.银行借款,25,,,
2.向非银行金融机构借款,26,,,
3.进入权益类科目的融资额,27,,,
五、社会贡献总额（本年累计数）,28,,,
  其中：乡村振兴（扶贫）方面的支出,29,,,
        其中：现金支出,30,,,
        其他捐赠支出,31,,,
六、本年企业支付的环境保护及生态恢复支出,32,,,
  其中：本年企业支出的节能减排费用,33,,,
